I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:13:20,   145481,        0,       0,       0,       0,    4102,        0,   19766,        0,       5,       0,       0,     734,       0,       0,       0,       5,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:13:30,   349972,        0,       0,       0,       0,    3522,        0,   22680,        0,       7,       0,       0,     761,       0,       0,       0,       7,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:13:40,   192463,        0,       0,       0,       0,    2613,        0,   28977,        0,      11,       0,       0,     801,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:13:50,   105642,        0,       0,       0,       0,    2780,        0,   16820,        0,       4,       0,       0,     841,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:14:00,   151617,        0,       0,       0,       0,    1704,        0,   19696,        0,      13,       0,       0,     951,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:14:10,    73816,        0,       0,       0,       0,    1317,        0,    8204,        0,       2,       0,     100,      18,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:14:20,   120443,        0,       0,       0,       0,    2559,        0,   15010,        0,       5,       0,       0,      65,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:14:30,   318484,        0,       0,       0,       0,    3679,        0,   19857,        0,       6,       0,       0,     117,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:14:40,   265003,        0,       0,       0,       0,    2603,        0,   16372,        0,       5,       0,       0,     153,       0,       0,       0,       5,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:14:50,   211678,        0,       0,       0,       0,    2956,        0,   12252,        0,       2,       0,       0,     257,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:15:00,   189789,        0,       0,       0,       0,    3078,        0,   31960,        0,      12,       0,       0,     291,       0,       0,       0,      16,       0,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:15:10,   170868,        0,       0,       0,       0,   11516,        0,   25091,        0,       8,       0,       0,    1087,       0,       0,       0,       9,       9,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:15:20,   181145,        0,       0,       0,       0,    4534,        0,   20342,        0,       7,       0,       0,    1115,       0,       0,       0,       4,       3,       0,       0,       0,       0,       0,       0,    1355,       0,       0
01/03/2017, 00:15:30,   100609,        0,       0,       0,       0,    5488,        0,   14223,        0,       4,       0,     125,      43,       0,       0,       4,       5,       3,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:15:40,   169720,        0,       0,       0,       0,    1539,        0,   27015,        0,      11,       0,       0,      89,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:15:50,    52141,        0,       0,       0,       0,     410,        0,   11471,        0,       4,       0,       0,     190,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:16:00,    83423,        0,       0,       0,       0,     621,        0,   16606,        0,       6,       0,       0,     262,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:16:10,    21362,        0,       0,       0,       0,     437,        0,    4532,        0,       0,       0,       0,     318,       0,       0,       0,       5,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:16:20,    75918,        0,       0,       0,       0,    3257,        0,   14954,        0,      11,       0,       0,     797,       0,       0,       0,       5,       3,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:16:30,    48869,        0,       0,       0,       0,     568,        0,   10473,        0,       3,       0,       0,     912,       0,       0,       0,      12,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
